package_name,download_count
isdc-geonode-client,170
interlegis-portalmodelo-api,170
geotagger,170
afrigis,169
odoo11-addon-event-registration-partner-unique,169
imposm-geocoder,168
odoo11-addon-event-registration-cancel-reason,168
jicgeometry,167
txgeocodio,166
wsgiservlets,166
odoo10-addon-delivery-carrier-label-postlogistics,166
udata-geoplatform,166
postgis2raster,165
odoo9-addon-geoengine-maplausanne,165
nester-logistex,164
uw-highp-geophysics-tools,163
odoo10-addon-l10n-it-base-location-geonames-import,163
qgispluginreleaser,163
wu-aut-register-script,162
mougeon,162
nekbot-plugins-geo,162
bgeo-catasto,161
isdc-geodb,161
wsgisession,159
pythologist-reader,158
zgeo-kml,158
geoutils,158
zgeo-wfs,157
type-registry,157
lofargeotiff,157
geo-data-utils,156
py-ztj-registry,156
legiscrape,156
osmgeocoder,156
deepgeo-ext-maskrcnn,155
zgeo-plone-kml,155
cfgeom,155
virtualecologist,155
zgeo-plone-atom,155
jupyterlab-geojs,154
zato-connection-registry,154
aoikregistryeditor,154
cherrypy-cgiserver,153
geoslurp,153
collective-registrationcaptcha,153
geo-upload-tool,153
geo3d,152
xarray-spatial,152
drf-tracking-geoip,152
geo3dfeatures,151
georss-wa-dfes-client,151
deepgeo-ext-yolo,151
geopackage,150
pymrgeo,150
geocities,149
geofile-ops,148
georss-tfs-incidents-client,148
odoo12-addons-oca-stock-logistics-reporting,148
georss-ingv-centro-nazionale-terremoti-client,147
django-registration-bootstrap,146
incuna-pigeon,146
geoip2nation3,145
gistfinder,145
gistmaker,145
giserwang,144
django-geomultiplechoice,144
geo-lib,144
georss-nrcan-earthquakes-client,144
diplomacy-strategist,144
foramgeochem,144
geolearn,144
geosearch,144
odoo11-addon-test-base-geoengine,144
geojsonvt,143
django-geohash-cluster,143
django-geocoding,143
wsgisubdomain,143
odoo12-addon-event-sale-registration-multi-qty,143
geosupport-suggest,142
registry-cli-apatsev,142
django-ubigeo,142
odoo11-addons-oca-geospatial,142
geoapi-client,141
openregister-entry,141
django-geofield,141
geo58,141
dungeon-game-mykhailovskyi,141
rancher-agent-registration,141
django-gist-embed,141
changeoffice,140
geoffrey-pyreverse,140
odoo8-addon-l10n-ar-cash-register,139
geo-rendering,139
pipegeohash,139
cleanup-zope-persistent-registry,139
geoffrey-jshint,139
df2geojson,138
gist-description,138
geops,138
gpiozero-shiftregister,138
docker-registry-statistics,138
registryctl,138
geometriq,137
geonames-postcode,137
geopicker,137
ppygis,137
isogeo-xml-toolbelt,137
collective-geo-wms,136
girder-geospatial-vector,136
ng-app-registry,136
odoo12-addon-event-session-registration-multi-qty,136
odoo8-addon-logistic-order,136
geoffrey-pyflakes,136
odoo9-addon-crm-event-registration-partner-unique,136
girder-geospatial-grid,136
odoo9-addon-event-registration-mass-mailing,136
geodesiclm,135
pygeomod,135
girder-geospatial-raster,135
odoo8-addon-logistic-budget,135
odoo11-addon-crm-lead-to-event-registration,134
django-easygeoip,134
wtforms-geo,134
geovision,134
odoo8-addons-oca-stock-logistics-tracking,134
docker-registry-driver-azureblob,133
reshape-geo,133
djorm-ext-pggeom,133
geojson-elevation,133
odoo8-addon-logistic-requisition,133
geolambert,133
geopoly,132
geonode-ows-endpoints,132
odoo8-addons-oca-geospatial,132
gistimporter,132
docker-registry-driver-fdsstorage,131
odoo8-addon-l10n-it-base-location-geonames-import,131
odoo8-addons-oca-stock-logistics-transport,131
geoffrey-snakefood,131
odoo8-addon-logistic-order-multicurrency,131
odoo8-addon-logistic-consignee,131
qgis-plugins,131
odoo8-addon-logistic-requisition-donation,131
odoo8-addon-logistic-order-requisition-donation,131
wugeo,130
dungeon-generator,130
geonames-countries,130
odoo9-addon-event-registration-partner-unique,130
django-registration-html-email,130
odoo8-addon-logistic-requisition-multicurrency,130
odoo8-addon-event-registration-mass-mailing,130
django-ipgeo,130
geoffrey-csslint,130
insightgis,130
gist-up,130
django-geolocation-alert,129
googlegeocodingcli,129
geofdw,129
geoffrey-cheesecake,129
geoffrey-clonedigger,129
odoo8-addon-logistic-order-donation,129
geo-util,129
django-log-register,129
geohelper,129
geokey-geotagx,128
odoo10-addon-l10n-fr-base-location-geonames-import,128
geo-hood,128
geomi,128
geoprisma-config,128
